date,github_downloads,store_acquisitions
2026-06-17,956,1148
2026-06-18,966,1147
2026-06-19,980,1185
2026-06-20,987,1214
2026-06-21,1001,1242
2026-06-22,1016,1268
2026-06-23,1030,1284
2026-06-24,1054,1311
2026-06-25,1061,1344
2026-06-26,1064,1378
2026-06-27,1076,1416
2026-06-28,1083,1442
2026-06-29,1099,1475
2026-06-30,1112,1494
2026-07-01,1116,1514
2026-07-02,1123,1538
2026-07-03,1138,1554
2026-07-04,1156,1572
2026-07-05,1171,1592
2026-07-06,1190,1633
2026-07-07,1195,1641
2026-07-08,1219,1661
2026-07-09,1223,1681
2026-07-10,1240,1696
2026-07-11,1257,1716
2026-07-12,1268,1732
2026-07-13,1287,1748
2026-07-14,1294,1758
2026-07-15,1308,1772
2026-07-16,1316,1790
2026-07-17,1318,1806
2026-07-18,1331,1827
2026-07-19,1338,1847
2026-07-20,1354,1861
2026-07-21,1367,1880
2026-07-22,1379,1903
2026-07-23,1388,1921
2026-07-24,1396,1941
2026-07-25,1404,1960
2026-07-26,1412,1973
2026-07-27,1428,2007
2026-07-28,1440,2015
2026-07-29,1452,2045
2026-07-30,1463,2052
2026-07-31,1469,2090
2026-08-01,1479,2098
2026-08-02,1491,2122
2026-08-03,1505,2145
2026-08-04,1524,2163
2026-08-05,1536,2193
2026-08-06,1559,2215
2026-08-07,1581,2228
2026-08-08,1598,2248
2026-08-09,1607,2266
2026-08-10,1607,2280
2026-08-11,1628,2301
2026-08-12,1639,2326
2026-08-13,1651,2343
2026-08-14,1685,2367
2026-08-15,1695,2381
2026-08-16,1714,2395
2026-08-17,1732,2410
