date,github_downloads,store_acquisitions
2026-06-27,,3
2026-06-28,,4
2026-06-29,,9
2026-06-30,,13
2026-07-03,,15
2026-07-06,,17
2026-07-07,,18
2026-07-08,,19
2026-07-10,,20
2026-07-13,,22
2026-07-14,,24
2026-07-16,,25
2026-07-17,,27
2026-07-19,,28
2026-07-21,,29
2026-07-23,,32
2026-07-24,,36
2026-07-25,,39
2026-07-26,,41
2026-07-27,,43
2026-07-28,,44
2026-07-29,,49
2026-07-30,,53
2026-07-31,,55
2026-08-01,,58
2026-08-02,,62
2026-08-03,,70
2026-08-04,,76
2026-08-05,,78
2026-08-06,,80
2026-08-07,,84
2026-08-08,,91
2026-08-09,,94
2026-08-10,,97
2026-08-11,,102
2026-08-12,,106
2026-08-13,,110
2026-08-14,,115
2026-08-15,,119
2026-08-16,,120
2026-08-17,335,121
2026-08-18,336,120
2026-08-19,358,125
2026-08-20,368,127
2026-08-21,377,133
2026-08-22,387,136
2026-08-23,395,142
2026-08-24,407,143
2026-08-25,418,146
2026-08-26,427,148
2026-08-27,448,153
2026-08-28,459,157
2026-08-29,466,157
2026-08-30,484,165
